timestamp,orders,revenue,channel
2026-01-13 18:00:00,40,516.14,delivery
2026-01-13 21:00:00,26,350.82,delivery
2026-01-14 08:00:00,13,141.23,takeout
2026-01-14 11:00:00,26,390.57,dine-in
2026-01-14 14:00:00,24,339.22,dine-in
2026-01-14 18:00:00,43,571.75,delivery
2026-01-14 21:00:00,24,300.25,delivery
2026-01-15 08:00:00,14,156.8,takeout
2026-01-15 11:00:00,29,448.51,dine-in
2026-01-15 14:00:00,26,286.83,takeout
2026-01-15 18:00:00,47,643.41,delivery
2026-01-15 21:00:00,26,379.03,dine-in
2026-01-16 08:00:00,17,196.11,takeout
2026-01-16 11:00:00,34,488.1,dine-in
2026-01-16 14:00:00,26,390.57,dine-in
2026-01-16 18:00:00,55,698.88,delivery
2026-01-16 21:00:00,31,412.19,delivery
2026-01-17 08:00:00,17,181.83,takeout
2026-01-17 11:00:00,39,577.2,dine-in
2026-01-17 14:00:00,30,351.12,takeout
2026-01-17 18:00:00,55,720.5,delivery
2026-01-17 21:00:00,36,492.82,delivery
2026-01-18 08:00:00,17,187.54,takeout
2026-01-18 11:00:00,39,594.52,dine-in
2026-01-18 14:00:00,30,430.68,dine-in
2026-01-18 18:00:00,55,742.12,delivery
2026-01-18 21:00:00,36,516.82,dine-in
2026-01-19 08:00:00,13,147.78,takeout
2026-01-19 11:00:00,26,367.48,dine-in
2026-01-19 14:00:00,23,257.6,takeout
2026-01-19 18:00:00,42,525.44,delivery
2026-01-19 21:00:00,24,314.4,delivery
2026-01-20 08:00:00,13,152.15,takeout
2026-01-20 11:00:00,26,379.03,dine-in
2026-01-20 14:00:00,23,350.61,dine-in
2026-01-20 18:00:00,42,541.95,delivery
2026-01-20 21:00:00,24,323.83,delivery
2026-01-21 08:00:00,14,152.1,takeout
2026-01-21 11:00:00,28,420.62,dine-in
2026-01-21 14:00:00,22,235.31,takeout
2026-01-21 18:00:00,46,611.64,delivery
2026-01-21 21:00:00,26,367.48,dine-in
2026-01-22 08:00:00,13,145.6,takeout
2026-01-22 11:00:00,31,479.45,dine-in
2026-01-22 14:00:00,24,349.87,dine-in
2026-01-22 18:00:00,43,588.65,delivery
2026-01-22 21:00:00,28,361.3,delivery
2026-01-23 08:00:00,15,173.04,takeout
2026-01-23 11:00:00,36,516.82,dine-in
2026-01-23 14:00:00,28,318.3,takeout
2026-01-23 18:00:00,50,635.35,delivery
2026-01-23 21:00:00,33,438.78,delivery
2026-01-24 08:00:00,18,192.53,takeout
2026-01-24 11:00:00,36,532.8,dine-in
2026-01-24 14:00:00,32,494.91,dine-in
2026-01-24 18:00:00,58,759.8,delivery
2026-01-24 21:00:00,33,510.38,dine-in
2026-01-25 08:00:00,18,198.58,takeout
2026-01-25 11:00:00,36,548.78,dine-in
2026-01-25 14:00:00,32,347.65,takeout
2026-01-25 18:00:00,58,782.59,delivery
2026-01-25 21:00:00,33,419.33,delivery
2026-01-26 08:00:00,14,159.15,takeout
2026-01-26 11:00:00,28,395.75,dine-in
2026-01-26 14:00:00,21,310.8,dine-in
2026-01-26 18:00:00,45,562.97,delivery
2026-01-26 21:00:00,25,327.5,delivery
2026-01-27 08:00:00,12,140.45,takeout
2026-01-27 11:00:00,28,408.18,dine-in
2026-01-27 14:00:00,21,242.26,takeout
2026-01-27 18:00:00,39,503.24,delivery
2026-01-27 21:00:00,25,381.1,dine-in
2026-01-28 08:00:00,13,141.23,takeout
2026-01-28 11:00:00,30,450.66,dine-in
2026-01-28 14:00:00,23,325.08,dine-in
2026-01-28 18:00:00,42,558.45,delivery
2026-01-28 21:00:00,27,337.78,delivery
2026-01-29 08:00:00,14,156.8,takeout
2026-01-29 11:00:00,28,433.05,dine-in
2026-01-29 14:00:00,25,275.8,takeout
2026-01-29 18:00:00,45,616.03,delivery
2026-01-29 21:00:00,25,322.59,delivery
2026-01-30 08:00:00,16,184.58,takeout
2026-01-30 11:00:00,33,473.75,dine-in
2026-01-30 14:00:00,29,435.64,dine-in
2026-01-30 18:00:00,53,673.47,delivery
2026-01-30 21:00:00,30,450.66,dine-in
2026-01-31 08:00:00,19,203.22,takeout
2026-01-31 11:00:00,38,562.4,dine-in
2026-01-31 14:00:00,30,351.12,takeout
2026-01-31 18:00:00,62,812.2,delivery
2026-01-31 21:00:00,35,479.13,delivery
2026-02-01 08:00:00,20,224,takeout
2026-02-01 11:00:00,40,618.64,dine-in
2026-02-01 14:00:00,31,341.99,takeout
2026-02-01 18:00:00,65,889.82,delivery
2026-02-01 21:00:00,37,477.43,delivery
2026-02-02 08:00:00,13,149.97,takeout
2026-02-02 11:00:00,31,445.04,dine-in
2026-02-02 14:00:00,24,360.53,dine-in
2026-02-02 18:00:00,43,546.4,delivery
2026-02-02 21:00:00,28,372.3,delivery
2026-02-03 08:00:00,13,139.05,takeout
2026-02-03 11:00:00,31,458.8,dine-in
2026-02-03 14:00:00,24,280.9,takeout
2026-02-03 18:00:00,43,563.3,delivery
2026-02-03 21:00:00,28,433.05,dine-in
2026-02-04 08:00:00,14,154.45,takeout
2026-02-04 11:00:00,29,442.08,dine-in
2026-02-04 14:00:00,26,373.26,dine-in
2026-02-04 18:00:00,47,634.17,delivery
2026-02-04 21:00:00,26,330.38,delivery
2026-02-05 08:00:00,16,181.89,takeout
2026-02-05 11:00:00,31,438.15,dine-in
2026-02-05 14:00:00,28,313.6,takeout
2026-02-05 18:00:00,51,638.04,delivery
2026-02-05 21:00:00,29,379.9,delivery
2026-02-06 08:00:00,18,210.67,takeout
2026-02-06 11:00:00,37,539.39,dine-in
2026-02-06 14:00:00,28,426.83,dine-in
2026-02-06 18:00:00,60,774.21,delivery
2026-02-06 21:00:00,33,503.05,dine-in
2026-02-07 08:00:00,18,195.55,takeout
2026-02-07 11:00:00,43,645.95,dine-in
2026-02-07 14:00:00,33,352.97,takeout
2026-02-07 18:00:00,60,797.79,delivery
2026-02-07 21:00:00,39,487.91,delivery
2026-02-08 08:00:00,18,201.6,takeout
2026-02-08 11:00:00,43,665.04,dine-in
2026-02-08 14:00:00,33,481.07,dine-in
2026-02-08 18:00:00,60,821.37,delivery
2026-02-08 21:00:00,39,503.24,delivery
2026-02-09 08:00:00,14,161.5,takeout
2026-02-09 11:00:00,28,401.97,dine-in
2026-02-09 14:00:00,25,284.2,takeout
2026-02-09 18:00:00,46,584.52,delivery
2026-02-09 21:00:00,26,390.57,dine-in
2026-02-10 08:00:00,14,149.74,takeout
2026-02-10 11:00:00,28,414.4,dine-in
2026-02-10 14:00:00,26,402.12,dine-in
2026-02-10 18:00:00,46,602.6,delivery
2026-02-10 21:00:00,26,355.93,delivery
2026-02-11 08:00:00,15,165.48,takeout
2026-02-11 11:00:00,31,472.56,dine-in
2026-02-11 14:00:00,24,260.74,takeout
2026-02-11 18:00:00,50,674.65,delivery
2026-02-11 21:00:00,28,355.8,delivery
2026-02-12 08:00:00,14,159.15,takeout
2026-02-12 11:00:00,33,466.42,dine-in
2026-02-12 14:00:00,26,384.8,dine-in
2026-02-12 18:00:00,46,575.48,delivery
2026-02-12 21:00:00,30,444,dine-in
2026-02-13 08:00:00,17,198.97,takeout
2026-02-13 11:00:00,39,568.54,dine-in
2026-02-13 14:00:00,30,346.08,takeout
2026-02-13 18:00:00,54,696.79,delivery
2026-02-13 21:00:00,35,472.26,delivery
2026-02-14 08:00:00,20,217.28,takeout
2026-02-14 11:00:00,39,585.86,dine-in
2026-02-14 14:00:00,35,494.69,dine-in
2026-02-14 18:00:00,63,837.68,delivery
2026-02-14 21:00:00,36,450.38,delivery
2026-02-15 08:00:00,19,212.8,takeout
2026-02-15 11:00:00,39,603.17,dine-in
2026-02-15 14:00:00,35,386.12,takeout
2026-02-15 18:00:00,63,862.44,delivery
2026-02-15 21:00:00,35,510.23,dine-in
2026-02-16 08:00:00,15,173.04,takeout
2026-02-16 11:00:00,30,430.68,dine-in
2026-02-16 14:00:00,23,345.51,dine-in
2026-02-16 18:00:00,49,622.64,delivery
2026-02-16 21:00:00,27,359.01,delivery
2026-02-17 08:00:00,13,139.05,takeout
2026-02-17 11:00:00,30,444,dine-in
2026-02-17 14:00:00,23,269.19,takeout
2026-02-17 18:00:00,42,550.2,delivery
2026-02-17 21:00:00,27,369.62,delivery
2026-02-18 08:00:00,14,154.45,takeout
2026-02-18 11:00:00,32,487.81,dine-in
2026-02-18 14:00:00,25,358.9,dine-in
2026-02-18 18:00:00,45,607.19,delivery
2026-02-18 21:00:00,30,430.68,dine-in
2026-02-19 08:00:00,15,170.52,takeout
2026-02-19 11:00:00,30,424.02,dine-in
2026-02-19 14:00:00,27,302.4,takeout
2026-02-19 18:00:00,49,613.01,delivery
2026-02-19 21:00:00,28,366.8,delivery
2026-02-20 08:00:00,18,210.67,takeout
2026-02-20 11:00:00,36,524.81,dine-in
2026-02-20 14:00:00,32,487.81,dine-in
2026-02-20 18:00:00,58,748.4,delivery
2026-02-20 21:00:00,32,431.78,delivery
2026-02-21 08:00:00,21,228.14,takeout
2026-02-21 11:00:00,41,615.9,dine-in
2026-02-21 14:00:00,32,342.27,takeout
2026-02-21 18:00:00,67,890.87,delivery
2026-02-21 21:00:00,38,537.09,dine-in
2026-02-22 08:00:00,18,201.6,takeout
2026-02-22 11:00:00,41,634.11,dine-in
2026-02-22 14:00:00,32,466.5,dine-in
2026-02-22 18:00:00,58,793.99,delivery
2026-02-22 21:00:00,38,490.33,delivery
2026-02-23 08:00:00,14,161.5,takeout
2026-02-23 11:00:00,32,459.39,dine-in
2026-02-23 14:00:00,25,284.2,takeout
2026-02-23 18:00:00,44,559.11,delivery
2026-02-23 21:00:00,29,385.6,delivery
2026-02-24 08:00:00,14,149.74,takeout
2026-02-24 11:00:00,27,399.6,dine-in
2026-02-24 14:00:00,25,386.65,dine-in
2026-02-24 18:00:00,45,589.5,delivery
2026-02-24 21:00:00,25,386.65,dine-in
2026-02-25 08:00:00,15,165.48,takeout
2026-02-25 11:00:00,30,457.32,dine-in
2026-02-25 14:00:00,27,293.33,takeout
2026-02-25 18:00:00,48,647.66,delivery
2026-02-25 21:00:00,27,343.09,delivery
2026-02-26 08:00:00,16,181.89,takeout
2026-02-26 11:00:00,32,452.29,dine-in
2026-02-26 14:00:00,25,370,dine-in
2026-02-26 18:00:00,52,650.55,delivery
2026-02-26 21:00:00,29,379.9,delivery
2026-02-27 08:00:00,16,187.26,takeout
2026-02-27 11:00:00,38,553.96,dine-in
2026-02-27 14:00:00,29,334.54,takeout
2026-02-27 18:00:00,53,683.89,delivery
2026-02-27 21:00:00,34,518.3,dine-in
2026-02-28 08:00:00,19,206.42,takeout
2026-02-28 11:00:00,44,660.97,dine-in
2026-02-28 14:00:00,34,480.56,dine-in
2026-02-28 18:00:00,62,824.38,delivery
2026-02-28 21:00:00,40,500.42,delivery
2026-03-01 08:00:00,22,246.4,takeout
2026-03-01 11:00:00,45,695.97,dine-in
2026-03-01 14:00:00,35,386.12,takeout
2026-03-01 18:00:00,73,999.33,delivery
2026-03-01 21:00:00,41,529.04,delivery
2026-03-02 08:00:00,15,173.04,takeout
2026-03-02 11:00:00,35,502.46,dine-in
2026-03-02 14:00:00,27,405.59,dine-in
2026-03-02 18:00:00,48,609.94,delivery
2026-03-02 21:00:00,31,412.19,delivery
2026-03-03 08:00:00,15,160.44,takeout
2026-03-03 11:00:00,35,518,dine-in
2026-03-03 14:00:00,27,316.01,takeout
2026-03-03 18:00:00,49,641.9,delivery
2026-03-03 21:00:00,32,494.91,dine-in
2026-03-04 08:00:00,16,176.51,takeout
2026-03-04 11:00:00,32,487.81,dine-in
2026-03-04 14:00:00,29,416.32,dine-in
2026-03-04 18:00:00,52,701.64,delivery
2026-03-04 21:00:00,29,368.5,delivery
2026-03-05 08:00:00,18,204.62,takeout
2026-03-05 11:00:00,35,494.69,dine-in
2026-03-05 14:00:00,32,358.4,takeout
2026-03-05 18:00:00,57,713.1,delivery
2026-03-05 21:00:00,32,419.2,delivery
2026-03-06 08:00:00,21,245.78,takeout
2026-03-06 11:00:00,41,597.7,dine-in
2026-03-06 14:00:00,32,487.81,dine-in
2026-03-06 18:00:00,67,864.53,delivery
2026-03-06 21:00:00,37,564.03,dine-in
2026-03-07 08:00:00,21,228.14,takeout
2026-03-07 11:00:00,48,721.06,dine-in
2026-03-07 14:00:00,37,395.75,takeout
2026-03-07 18:00:00,67,890.87,delivery
2026-03-07 21:00:00,44,550.46,delivery
2026-03-08 08:00:00,21,235.2,takeout
2026-03-08 11:00:00,48,742.37,dine-in
2026-03-08 14:00:00,37,539.39,dine-in
2026-03-08 18:00:00,67,917.2,delivery
2026-03-08 21:00:00,43,554.85,delivery
2026-03-09 08:00:00,16,184.58,takeout
2026-03-09 11:00:00,31,445.04,dine-in
2026-03-09 14:00:00,28,318.3,takeout
2026-03-09 18:00:00,51,648.06,delivery
2026-03-09 21:00:00,29,435.64,dine-in
2026-03-10 08:00:00,16,171.14,takeout
2026-03-10 11:00:00,32,473.6,dine-in
2026-03-10 14:00:00,29,448.51,dine-in
2026-03-10 18:00:00,52,681.2,delivery
2026-03-10 21:00:00,29,397,delivery
2026-03-11 08:00:00,17,187.54,takeout
2026-03-11 11:00:00,34,518.3,dine-in
2026-03-11 14:00:00,27,293.33,takeout
2026-03-11 18:00:00,56,755.61,delivery
2026-03-11 21:00:00,31,393.92,delivery
2026-03-12 08:00:00,16,181.89,takeout
2026-03-12 11:00:00,37,522.96,dine-in
2026-03-12 14:00:00,29,429.2,dine-in
2026-03-12 18:00:00,52,650.55,delivery
2026-03-12 21:00:00,34,503.2,dine-in
2026-03-13 08:00:00,19,222.38,takeout
2026-03-13 11:00:00,44,641.43,dine-in
2026-03-13 14:00:00,34,392.22,takeout
2026-03-13 18:00:00,61,787.11,delivery
2026-03-13 21:00:00,40,539.72,delivery
2026-03-14 08:00:00,22,239.01,takeout
2026-03-14 11:00:00,44,660.97,dine-in
2026-03-14 14:00:00,39,551.23,dine-in
2026-03-14 18:00:00,71,944.05,delivery
2026-03-14 21:00:00,40,500.42,delivery
2026-03-15 08:00:00,22,246.4,takeout
2026-03-15 11:00:00,44,680.5,dine-in
2026-03-15 14:00:00,39,430.25,takeout
2026-03-15 18:00:00,71,971.95,delivery
2026-03-15 21:00:00,40,583.12,dine-in
2026-03-16 08:00:00,17,196.11,takeout
2026-03-16 11:00:00,34,488.1,dine-in
2026-03-16 14:00:00,26,390.57,dine-in
2026-03-16 18:00:00,54,686.18,delivery
2026-03-16 21:00:00,31,412.19,delivery
2026-03-17 08:00:00,14,149.74,takeout
2026-03-17 11:00:00,34,503.2,dine-in
2026-03-17 14:00:00,26,304.3,takeout
2026-03-17 18:00:00,47,615.7,delivery
2026-03-17 21:00:00,31,424.37,delivery
2026-03-18 08:00:00,16,176.51,takeout
2026-03-18 11:00:00,36,548.78,dine-in
2026-03-18 14:00:00,28,401.97,dine-in
2026-03-18 18:00:00,51,688.14,delivery
2026-03-18 21:00:00,33,473.75,dine-in
2026-03-19 08:00:00,17,193.26,takeout
2026-03-19 11:00:00,34,480.56,dine-in
2026-03-19 14:00:00,31,347.2,takeout
2026-03-19 18:00:00,55,688.08,delivery
2026-03-19 21:00:00,31,406.1,delivery
2026-03-20 08:00:00,20,234.08,takeout
2026-03-20 11:00:00,40,583.12,dine-in
2026-03-20 14:00:00,36,548.78,dine-in
2026-03-20 18:00:00,65,838.73,delivery
2026-03-20 21:00:00,36,485.75,delivery
2026-03-21 08:00:00,23,249.87,takeout
2026-03-21 11:00:00,46,691.01,dine-in
2026-03-21 14:00:00,36,385.06,takeout
2026-03-21 18:00:00,75,997.24,delivery
2026-03-21 21:00:00,42,593.63,dine-in
2026-03-22 08:00:00,20,224,takeout
2026-03-22 11:00:00,46,711.44,dine-in
2026-03-22 14:00:00,36,524.81,dine-in
2026-03-22 18:00:00,65,889.82,delivery
2026-03-22 21:00:00,42,541.95,delivery
2026-03-23 08:00:00,15,173.04,takeout
2026-03-23 11:00:00,36,516.82,dine-in
2026-03-23 14:00:00,28,318.3,takeout
2026-03-23 18:00:00,50,635.35,delivery
2026-03-23 21:00:00,32,425.49,delivery
2026-03-24 08:00:00,15,160.44,takeout
2026-03-24 11:00:00,31,458.8,dine-in
2026-03-24 14:00:00,28,433.05,dine-in
2026-03-24 18:00:00,50,655,delivery
2026-03-24 21:00:00,28,433.05,dine-in
2026-03-25 08:00:00,17,187.54,takeout
2026-03-25 11:00:00,33,503.05,dine-in
2026-03-25 14:00:00,30,325.92,takeout
2026-03-25 18:00:00,54,728.62,delivery
2026-03-25 21:00:00,30,381.21,delivery
2026-03-26 08:00:00,18,204.62,takeout
2026-03-26 11:00:00,36,508.82,dine-in
2026-03-26 14:00:00,28,414.4,dine-in
2026-03-26 18:00:00,59,738.12,delivery
2026-03-26 21:00:00,33,432.3,delivery
2026-03-27 08:00:00,18,210.67,takeout
2026-03-27 11:00:00,42,612.28,dine-in
2026-03-27 14:00:00,33,380.69,takeout
2026-03-27 18:00:00,59,761.31,delivery
2026-03-27 21:00:00,39,594.52,dine-in
2026-03-28 08:00:00,21,228.14,takeout
2026-03-28 11:00:00,49,736.08,dine-in
2026-03-28 14:00:00,38,537.09,dine-in
2026-03-28 18:00:00,69,917.46,delivery
2026-03-28 21:00:00,45,562.97,delivery
2026-03-29 08:00:00,21,235.2,takeout
2026-03-29 11:00:00,42,649.57,dine-in
2026-03-29 14:00:00,38,419.22,takeout
2026-03-29 18:00:00,69,944.58,delivery
2026-03-29 21:00:00,39,503.24,delivery
2026-03-30 08:00:00,16,184.58,takeout
2026-03-30 11:00:00,33,473.75,dine-in
2026-03-30 14:00:00,29,435.64,dine-in
2026-03-30 18:00:00,53,673.47,delivery
2026-03-30 21:00:00,30,450.66,dine-in
2026-03-31 08:00:00,16,171.14,takeout
2026-03-31 11:00:00,33,488.4,dine-in
2026-03-31 14:00:00,25,292.6,takeout
2026-03-31 18:00:00,53,694.3,delivery
2026-03-31 21:00:00,30,410.68,delivery
2026-04-01 08:00:00,17,186.15,takeout
2026-04-01 11:00:00,34,503.2,dine-in
2026-04-01 14:00:00,27,389.34,dine-in
2026-04-01 18:00:00,56,734.16,delivery
2026-04-01 21:00:00,32,451.84,delivery
2026-04-02 08:00:00,18,201.6,takeout
2026-04-02 11:00:00,36,532.8,dine-in
2026-04-02 14:00:00,29,429.2,dine-in
2026-04-02 18:00:00,58,759.8,delivery
2026-04-02 21:00:00,34,479.13,dine-in
2026-04-03 08:00:00,20,224,takeout
2026-04-03 11:00:00,41,597.7,dine-in
2026-04-03 14:00:00,33,472.89,dine-in
2026-04-03 18:00:00,64,832.6,delivery
2026-04-03 21:00:00,38,553.96,dine-in
2026-04-04 08:00:00,22,246.4,takeout
2026-04-04 11:00:00,47,706.47,dine-in
2026-04-04 14:00:00,37,523.18,dine-in
2026-04-04 18:00:00,72,957.89,delivery
2026-04-04 21:00:00,43,602.86,delivery
2026-04-05 08:00:00,21,235.2,takeout
2026-04-05 11:00:00,45,695.97,dine-in
2026-04-05 14:00:00,36,512.82,dine-in
2026-04-05 18:00:00,69,930.44,delivery
2026-04-05 21:00:00,41,529.04,delivery
2026-04-06 08:00:00,16,181.89,takeout
2026-04-06 11:00:00,32,459.39,dine-in
2026-04-06 14:00:00,25,370,dine-in
2026-04-06 18:00:00,52,660.76,delivery
2026-04-06 21:00:00,30,397,delivery
2026-04-07 08:00:00,15,170.52,takeout
2026-04-07 11:00:00,31,458.8,dine-in
2026-04-07 14:00:00,24,280.9,takeout
2026-04-07 18:00:00,49,641.9,delivery
2026-04-07 21:00:00,29,402.81,delivery
